time,avg_wait_time,max_wait_time
0,19.573170731707318,39
1,18.963503649635037,39
2,18.267295597484278,39
3,19.512820512820515,39
4,18.40893470790378,39
5,21.40506329113924,39
6,19.073248407643312,39
7,21.5177304964539,39
8,22.00343642611684,39
9,21.43609022556391,39
10,19.297658862876254,43
11,20.11764705882353,39
12,19.0,39
