time,avg_wait_time,max_wait_time
0,18.91275167785235,39
1,20.896551724137932,39
2,19.217241379310344,41
3,19.420689655172414,39
4,19.730337078651687,39
5,19.329032258064515,40
6,19.665399239543728,39
7,19.493333333333332,43
8,21.67153284671533,47
9,20.915966386554622,42
10,20.242957746478872,40
11,20.990909090909092,39
12,20.951807228915662,42
