time,avg_wait_time,max_wait_time
0,27.91566265060241,39
1,46.3125,64
2,69.45625,98
3,96.825,111
4,126.93125,157
5,150.1,170
6,174.8,206
7,195.25,221
8,221.4,255
9,249.7875,272
10,274.075,306
11,300.3125,322
12,326.6,360
13,349.1375,372
14,373.04375,401
15,395.4125,419
16,418.94375,449
17,438.4625,460
18,462.7375,488
19,483.5625,505
20,509.6016260162602,536
