time,avg_wait_time,max_wait_time
0,22.737864077669904,39
1,33.15909090909091,66
2,42.035532994923855,74
3,70.08,93
4,64.30653266331659,122
5,48.51063829787234,117
6,84.13,149
7,124.9,168
8,103.27,189
9,65.2,181
10,115.28,209
11,175.94,234
12,138.3189189189189,250
13,236.15,240
14,247.86,271
15,265.6375,291
16,288.56716417910445,309
