time,avg_wait_time,max_wait_time
0,20.900990099009903,39
1,25.1875,49
2,27.21,51
3,33.11,60
4,35.47,61
5,38.99,59
6,41.57,65
7,48.63,68
8,50.63,77
9,55.38,85
10,51.21,89
11,47.18,80
12,53.854304635761586,94
13,83.33333333333333,85
