time,avg_wait_time,max_wait_time
0,22.557692307692307,39
1,45.34,72
2,59.555,83
3,85.64,104
4,102.975,134
5,114.23,141
6,143.43,174
7,169.97,196
8,183.915,226
9,186.85,229
10,219.13,269
11,265.32,301
12,258.38,337
13,241.07,341
14,294.505,376
15,356.66,401
16,355.44303797468353,432
17,432.45,439
18,449.27,467
19,484.9125,500
20,521.8405797101449,539
